department,product_category,total_sales_value,total_baskets,unique_households,unique_products
PRODUCE,ONIONS,12832.47,8850,1638,90
GROCERY,MISC. DAIRY,12756.2,4028,1173,179
DRUG GM,SOAP - LIQUID & BAR,12531.41,3370,1133,389
GROCERY,FROZEN PIE/DESSERTS,12476.02,3832,1191,208
DELI,PREPARED FOOD,12442.78,2677,730,122
SPIRITS,LIQUOR,12299.52,1085,397,289
GROCERY,FRZN POTATOES,12101.33,4507,1192,115
DRUG GM,HAND/BODY/FACIAL PRODUCTS,11755.62,1620,680,535
DRUG GM,VITAMINS,11701.91,1168,537,503
DRUG GM,PREPAID WIRELESS&ACCESSORIES,11579.25,555,195,38
GROCERY,LAUNDRY ADDITIVES,11531.51,2493,896,161
DRUG GM,FEMININE HYGIENE,11430.58,2422,870,355
GROCERY,IMPORTED WINE,11365.68,946,277,362
SEAFOOD,SEAFOOD-FRESH,11325.57,1531,505,190
FLORAL,FLORAL-FRESH CUT,11130.82,1272,592,221
MEAT,TURKEY,11128.95,1527,676,131
PASTRY,BREAKFAST SWEETS,11054.89,4582,1175,221
PRODUCE,ORGANICS FRUIT & VEGETABLES,10978.06,3374,1004,235
PRODUCE,VALUE ADDED FRUIT,10948.5,3294,988,62
GROCERY,FROZEN BREAD/DOUGH,10932.630000000001,4054,1219,112
GROCERY,DISHWASH DETERGENTS,10618.73,3473,1186,165
GROCERY,FACIAL TISS/DNR NAPKIN,10476.01,3808,1049,106
GROCERY,AIR CARE,10291.26,2158,812,304
DRUG GM,STATIONERY & SCHOOL SUPPLIES,10100.08,2544,970,937
GROCERY,BEANS - CANNED GLASS & MW,10048.86,5345,1377,169
PASTRY,BREAD,9971.12,4521,1054,265
GROCERY,CAT LITTER,9938.34,1716,417,88
GROCERY,HOT CEREAL,9837.67,3161,1110,133
DRUG GM,DIETARY AID PRODUCTS,9744.51,1020,328,244
DRUG GM,SPRING/SUMMER SEASONAL,9737.210000000001,1068,673,339
GROCERY,SNACK NUTS,9669.11,2622,852,196
GROCERY,PWDR/CRYSTL DRNK MX,9363.01,3036,947,212
PRODUCE,STONE FRUIT,9349.44,2977,961,38
GROCERY,BUTTER,9324.21,2800,785,43
PRODUCE,PEPPERS-ALL,9298.56,4731,1206,46
PRODUCE,PROCESSED,9201.630000000001,2790,992,265
